DATE,TWEXM
1991-03-20,88.4853
1991-03-27,89.608
1991-04-03,90.1646
1991-04-10,89.1168
1991-04-17,88.8348
1991-04-24,90.8657
1991-05-01,90.7869
1991-05-08,90.7654
1991-05-15,90.4582
1991-05-22,90.392
1991-05-29,90.2354
1991-06-05,91.0022
1991-06-12,92.239
1991-06-19,92.8703
1991-06-26,92.3552
1991-07-03,92.8697
1991-07-10,92.8986
1991-07-17,92.2433
1991-07-24,91.3415
1991-07-31,91.3878
1991-08-07,90.5726
1991-08-14,90.5958
1991-08-21,91.6036
1991-08-28,90.8437
1991-09-04,90.6997
1991-09-11,89.7884
1991-09-18,88.7725
1991-09-25,88.742
1991-10-02,88.3502
1991-10-09,88.0032
1991-10-16,88.4089
1991-10-23,88.3904
1991-10-30,88.438
1991-11-06,87.1244
1991-11-13,87.0091
1991-11-20,86.6591
1991-11-27,86.1958
1991-12-04,86.8172
1991-12-11,85.8322
1991-12-18,85.8956
1991-12-25,84.9525
1992-01-01,84.2784
1992-01-08,83.9757
1992-01-15,85.9519
1992-01-22,86.0178
1992-01-29,86.0879
1992-02-05,86.5406
1992-02-12,86.2334
1992-02-19,87.9233
1992-02-26,88.354
1992-03-04,88.663
1992-03-11,89.6491
1992-03-18,89.825
1992-03-25,89.905
1992-04-01,89.4473
1992-04-08,88.9174
1992-04-15,88.9431
1992-04-22,89.6445
1992-04-29,89.4034
1992-05-06,88.9301
1992-05-13,88.7489
1992-05-20,87.4647
1992-05-27,87.8454
1992-06-03,87.4166
1992-06-10,86.7641
1992-06-17,86.2087
1992-06-24,86.0448
1992-07-01,84.9162
1992-07-08,84.3818
1992-07-15,84.1784
1992-07-22,83.8558
1992-07-29,84.3245
1992-08-05,84.0861
1992-08-12,84.1089
1992-08-19,83.838
1992-08-26,82.6531
1992-09-02,81.9443
1992-09-09,82.1642
1992-09-16,84.3638
1992-09-23,85.7634
1992-09-30,84.7426
1992-10-07,84.503
1992-10-14,85.8347
1992-10-21,86.2157
1992-10-28,87.4959
1992-11-04,88.4318
1992-11-11,89.5452
1992-11-18,89.9826
1992-11-25,90.5489
1992-12-02,90.6371
1992-12-09,89.9521
1992-12-16,89.8472
1992-12-23,89.8796
1992-12-30,90.9311
1993-01-06,91.776
1993-01-13,91.9289
1993-01-20,91.6407
1993-01-27,90.8411
1993-02-03,91.8693
1993-02-10,92.2248
1993-02-17,91.3771
1993-02-24,90.5856
1993-03-03,90.7655
1993-03-10,90.7381
1993-03-17,90.9832
1993-03-24,89.9761
1993-03-31,89.8951
1993-04-07,89.0974
1993-04-14,88.4933
1993-04-21,88.1777
1993-04-28,87.471
1993-05-05,87.5592
1993-05-12,87.9286
1993-05-19,88.4402
1993-05-26,88.0535
1993-06-02,87.1355
1993-06-09,87.7492
1993-06-16,87.7181
1993-06-23,89.4815
1993-06-30,89.4136
1993-07-07,89.6547
1993-07-14,90.1526
1993-07-21,89.9799
1993-07-28,89.763
1993-08-04,89.6982
1993-08-11,89.5925
1993-08-18,89.396
1993-08-25,89.5329
1993-09-01,89.5785
1993-09-08,89.0887
1993-09-15,88.4572
1993-09-22,88.7744
1993-09-29,89.2815
1993-10-06,89.5597
1993-10-13,89.0243
1993-10-20,89.7992
1993-10-27,90.5776
1993-11-03,90.778
1993-11-10,90.5788
1993-11-17,90.6821
1993-11-24,91.3433
1993-12-01,91.8133
1993-12-08,91.314
1993-12-15,91.4694
1993-12-22,91.8278
1993-12-29,91.6375
1994-01-05,92.4915
1994-01-12,92.3037
1994-01-19,92.036
1994-01-26,91.8197
1994-02-02,91.243
1994-02-09,91.776
1994-02-16,91.2032
1994-02-23,90.5638
1994-03-02,90.438
1994-03-09,90.7648
1994-03-16,90.5512
1994-03-23,90.827
1994-03-30,90.2651
1994-04-06,90.7257
1994-04-13,90.9345
1994-04-20,90.761
1994-04-27,90.0471
1994-05-04,89.2542
1994-05-11,89.8574
1994-05-18,90.0298
1994-05-25,89.6947
1994-06-01,89.7968
1994-06-08,90.119
1994-06-15,89.5305
1994-06-22,88.6142
1994-06-29,87.5976
1994-07-06,87.2014
1994-07-13,86.3624
1994-07-20,86.6078
1994-07-27,87.1599
1994-08-03,87.5698
1994-08-10,87.6697
1994-08-17,87.2718
1994-08-24,86.375
1994-08-31,87.121
1994-09-07,86.6075
1994-09-14,86.2061
1994-09-21,85.6968
1994-09-28,85.5975
1994-10-05,85.7867
1994-10-12,85.9829
1994-10-19,85.0099
1994-10-26,84.2871
1994-11-02,84.3417
1994-11-09,84.967
1994-11-16,85.7355
1994-11-23,86.1957
1994-11-30,86.7132
1994-12-07,87.1364
1994-12-14,87.4146
1994-12-21,87.5039
1994-12-28,87.8303
1995-01-04,87.4132
1995-01-11,87.5006
1995-01-18,87.0446
1995-01-25,86.7837
1995-02-01,86.6778
1995-02-08,86.8366
1995-02-15,86.5708
1995-02-22,85.6551
1995-03-01,85.1866
1995-03-08,83.6247
1995-03-15,83.0959
1995-03-22,82.9134
1995-03-29,82.5578
1995-04-05,81.6622
1995-04-12,80.8481
1995-04-19,79.7012
1995-04-26,79.9518
1995-05-03,79.9903
1995-05-10,79.7354
1995-05-17,81.6273
1995-05-24,82.1531
1995-05-31,80.4062
1995-06-07,80.9915
1995-06-14,80.8084
