DATE,WSECOUT
2010-05-12,2042.467
2010-05-19,2065.529
2010-05-26,2062.171
2010-06-02,2057.228
2010-06-09,2057.291
2010-06-16,2064.505
2010-06-23,2071.086
2010-06-30,2061.501
2010-07-07,2060.028
2010-07-14,2060.479
2010-07-21,2061.234
2010-07-28,2058.231
2010-08-04,2054.033
2010-08-11,2054.510
2010-08-18,2052.150
2010-08-25,2051.160
2010-09-01,2045.484
2010-09-08,2047.242
2010-09-15,2049.742
2010-09-22,2047.446
2010-09-29,2049.195
2010-10-06,2046.948
2010-10-13,2053.246
2010-10-20,2044.742
2010-10-27,2043.901
2010-11-03,2040.709
2010-11-10,2048.604
2010-11-17,2054.136
2010-11-24,2078.354
2010-12-01,2077.894
2010-12-08,2108.062
2010-12-15,2129.613
2010-12-22,2142.720
2010-12-29,2159.177
2011-01-05,2163.563
2011-01-12,2183.358
2011-01-19,2206.539
2011-01-26,2216.739
2011-02-02,2235.167
2011-02-09,2263.508
2011-02-16,2286.934
2011-02-23,2303.929
2011-03-02,2318.618
2011-03-09,2345.022
2011-03-16,2365.019
2011-03-23,2378.267
2011-03-30,2393.839
2011-04-06,2415.308
2011-04-13,2437.073
2011-04-20,2454.031
2011-04-27,2464.929
2011-05-04,2477.413
2011-05-11,2503.309
2011-05-18,2532.391
2011-05-25,2546.417
2011-06-01,2566.624
2011-06-08,2581.653
2011-06-15,2605.229
2011-06-22,2621.959
2011-06-29,2636.565
2011-07-06,2647.946
2011-07-13,2652.230
2011-07-20,2651.436
2011-07-27,2649.995
2011-08-03,2649.085
2011-08-10,2653.620
2011-08-17,2652.085
2011-08-24,2650.233
2011-08-31,2644.507
2011-09-07,2649.298
2011-09-14,2651.764
2011-09-21,2649.931
2011-09-28,2647.526
2011-10-05,2645.193
2011-10-12,2645.797
2011-10-19,2641.082
2011-10-26,2636.744
2011-11-02,2623.214
2011-11-09,2616.040
2011-11-16,2624.059
2011-11-23,2617.092
2011-11-30,2601.547
2011-12-07,2604.609
2011-12-14,2617.595
2011-12-21,2628.660
2011-12-28,2623.796
2012-01-04,2605.139
2012-01-11,2594.818
2012-01-18,2602.187
2012-01-25,2601.791
2012-02-01,2598.967
2012-02-08,2602.532
2012-02-15,2605.165
2012-02-22,2612.780
2012-02-29,2602.642
2012-03-07,2598.227
2012-03-14,2608.509
2012-03-21,2609.637
2012-03-28,2609.857
2012-04-04,2598.062
2012-04-11,2609.805
2012-04-18,2630.337
2012-04-25,2622.690
2012-05-02,2609.268
2012-05-09,2607.596
2012-05-16,2608.829
2012-05-23,2615.867
2012-05-30,2610.687
2012-06-06,2606.392
2012-06-13,2606.896
2012-06-20,2621.172
2012-06-27,2620.927
2012-07-04,2610.149
2012-07-11,2610.477
2012-07-18,2612.597
2012-07-25,2607.161
2012-08-01,2593.814
2012-08-08,2593.989
2012-08-15,2598.719
2012-08-22,2586.296
2012-08-29,2578.185
2012-09-05,2574.490
2012-09-12,2583.396
2012-09-19,2586.667
2012-09-26,2575.827
2012-10-03,2566.854
2012-10-10,2575.693
2012-10-17,2595.219
2012-10-24,2603.247
2012-10-31,2584.211
2012-11-07,2583.852
2012-11-14,2590.100
2012-11-21,2617.804
2012-11-28,2617.588
2012-12-05,2618.799
2012-12-12,2630.907
2012-12-19,2668.946
2012-12-26,2674.860
2013-01-02,2666.291
2013-01-09,2674.807
2013-01-16,2696.582
2013-01-23,2738.078
2013-01-30,2746.855
2013-02-06,2753.843
2013-02-13,2776.889
2013-02-20,2829.472
